Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
4999,Sponsor,ServerName,2020-10-24T20:00:01.974786Z,distance,42.757,180612977.234238,5967864.62275077,,ipaddr
4999,Sponsor,ServerName,2020-10-24T21:00:02.940335Z,distance,35.896,225333679.143938,6131866.21844121,,ipaddr
4999,Sponsor,ServerName,2020-10-24T22:00:02.154995Z,distance,37.85,220984616.162753,6145940.50424637,,ipaddr
18648,Sponsor,ServerName,2020-10-24T23:00:02.613052Z,distance,36.971,149263226.502431,6024302.25039729,,ipaddr
3673,Sponsor,ServerName,2020-10-25T00:00:02.161573Z,distance,37.956,221843381.827482,6175440.06889218,,ipaddr
4999,Sponsor,ServerName,2020-10-25T01:00:03.302529Z,distance,41.262,224169892.007766,6150518.17788986,,ipaddr
18648,Sponsor,ServerName,2020-10-25T02:00:01.831004Z,distance,40.619,180226201.275458,5985202.3603515,,ipaddr
4999,Sponsor,ServerName,2020-10-25T03:00:02.177974Z,distance,40.005,221728162.814618,5906900.99737628,,ipaddr
18648,Sponsor,ServerName,2020-10-25T04:00:02.308285Z,distance,42.016,174745386.433906,6032678.28242062,,ipaddr
18648,Sponsor,ServerName,2020-10-25T05:00:01.832776Z,distance,38.669,171688082.446127,5950974.909534,,ipaddr
18648,Sponsor,ServerName,2020-10-25T06:00:02.725383Z,distance,39.502,203270754.010858,6046512.6798626,,ipaddr
4999,Sponsor,ServerName,2020-10-25T07:00:03.485881Z,distance,44.917,225377306.388822,6026866.31799575,,ipaddr
18648,Sponsor,ServerName,2020-10-25T08:00:03.078415Z,distance,36.845,189474547.332212,6250472.60984395,,ipaddr
4999,Sponsor,ServerName,2020-10-25T09:00:02.281752Z,distance,43.159,225502952.161841,6040704.66493339,,ipaddr
18648,Sponsor,ServerName,2020-10-25T10:00:02.303872Z,distance,38.258,163527508.803539,6102829.29202032,,ipaddr
18648,Sponsor,ServerName,2020-10-25T11:00:03.286962Z,distance,37.356,160399005.302893,5889441.99128109,,ipaddr
4999,Sponsor,ServerName,2020-10-25T12:00:01.979350Z,distance,39.896,223380851.562412,6151837.84669182,,ipaddr
4999,Sponsor,ServerName,2020-10-25T13:00:02.644373Z,distance,40.179,229773165.498335,5946105.33317105,,ipaddr
4999,Sponsor,ServerName,2020-10-25T14:00:02.526941Z,distance,35.273,228537465.351325,6109093.65141824,,ipaddr
4999,Sponsor,ServerName,2020-10-25T15:00:01.884685Z,distance,36.631,227891906.762365,6143650.92463227,,ipaddr
4999,Sponsor,ServerName,2020-10-25T16:00:02.538907Z,distance,36.252,222963268.851393,6050912.020282,,ipaddr
4999,Sponsor,ServerName,2020-10-25T17:00:01.979479Z,distance,34.997,231575770.523134,6116029.5105823,,ipaddr
18648,Sponsor,ServerName,2020-10-25T18:00:02.866706Z,distance,38.495,145960221.197644,5976799.10105782,,ipaddr
18648,Sponsor,ServerName,2020-10-25T19:00:02.737453Z,distance,37.758,147717579.477131,6209958.10674559,,ipaddr
18648,Sponsor,ServerName,2020-10-25T20:00:03.067081Z,distance,38.122,147266471.01577,5933508.49109879,,ipaddr
18648,Sponsor,ServerName,2020-10-25T21:00:02.153607Z,distance,39.339,192678994.315778,5905001.70601263,,ipaddr
4999,Sponsor,ServerName,2020-10-25T22:00:02.972362Z,distance,37.657,221387829.796184,6195047.41102941,,ipaddr
4999,Sponsor,ServerName,2020-10-25T23:00:03.622840Z,distance,40.355,220103494.256234,4866468.64042318,,ipaddr
3673,Sponsor,ServerName,2020-10-26T00:00:03.250003Z,distance,45.559,79655103.4829518,5037422.1881407,,ipaddr
4999,Sponsor,ServerName,2020-10-26T01:00:03.343672Z,distance,37.757,182322513.702666,6059498.1106032,,ipaddr
4999,Sponsor,ServerName,2020-10-26T02:00:02.748869Z,distance,40.093,200587700.857706,6130786.82361224,,ipaddr
18648,Sponsor,ServerName,2020-10-26T03:00:02.044240Z,distance,39.7,176627619.57608,6217153.61830677,,ipaddr
4999,Sponsor,ServerName,2020-10-26T04:00:02.544950Z,distance,49.119,229269826.175745,5950837.73982305,,ipaddr
4999,Sponsor,ServerName,2020-10-26T05:00:02.328291Z,distance,37.48,230911249.878936,5912587.99527705,,ipaddr
11406,Sponsor,ServerName,2020-10-26T06:00:02.985473Z,distance,58.577,218047550.56054,6158097.02437463,,ipaddr
18648,Sponsor,ServerName,2020-10-26T07:00:02.151606Z,distance,62.871,177796426.168454,6196023.89762732,,ipaddr
28908,Sponsor,ServerName,2020-10-26T08:00:02.102660Z,distance,64.129,99441197.0537076,5920003.95244511,,ipaddr
28908,Sponsor,ServerName,2020-10-26T09:00:02.955444Z,distance,71.209,109809157.114453,6025071.77742783,,ipaddr
28908,Sponsor,ServerName,2020-10-26T10:00:02.551409Z,distance,57.859,117904516.964855,5757775.62778277,,ipaddr
28908,Sponsor,ServerName,2020-10-26T11:00:02.994840Z,distance,65.434,132648422.996266,5829908.77493797,,ipaddr
3723,Sponsor,ServerName,2020-10-26T12:00:02.314999Z,distance,54.735,218810688.757144,5794334.06696739,,ipaddr
28908,Sponsor,ServerName,2020-10-26T13:00:02.833156Z,distance,54.306,149532749.270145,5957180.2138681,,ipaddr
18648,Sponsor,ServerName,2020-10-26T14:00:01.904114Z,distance,37.158,177665709.642067,5984749.03259204,,ipaddr
3586,Sponsor,ServerName,2020-10-26T15:00:02.791880Z,distance,28.419,227204610.083692,6253501.06001013,,ipaddr
18648,Sponsor,ServerName,2020-10-26T16:00:02.620467Z,distance,38.182,127075454.210414,6018276.96117973,,ipaddr
4999,Sponsor,ServerName,2020-10-26T17:00:03.179746Z,distance,38.458,222537482.160599,6017566.83259049,,ipaddr
11406,Sponsor,ServerName,2020-10-26T18:00:02.848624Z,distance,54.528,222530054.755195,5899697.97553084,,ipaddr
3723,Sponsor,ServerName,2020-10-26T19:00:03.306588Z,distance,49.341,216830539.178463,5927026.2024776,,ipaddr
3723,Sponsor,ServerName,2020-10-26T20:00:03.287178Z,distance,47.987,219437056.837177,5989745.89210913,,ipaddr
3723,Sponsor,ServerName,2020-10-26T21:00:02.588009Z,distance,47.336,216988877.308649,5847935.62188237,,ipaddr
4999,Sponsor,ServerName,2020-10-26T22:00:01.981459Z,distance,47.505,225678000.626173,6046298.1084754,,ipaddr
4999,Sponsor,ServerName,2020-10-26T23:00:01.890497Z,distance,42.807,223021153.16741,5868398.72302095,,ipaddr
3723,Sponsor,ServerName,2020-10-27T00:00:02.402197Z,distance,59.371,219450339.806486,5942163.41822425,,ipaddr
3723,Sponsor,ServerName,2020-10-27T01:00:02.965538Z,distance,53.309,218961415.505937,6232106.57007328,,ipaddr
4999,Sponsor,ServerName,2020-10-27T02:00:02.143116Z,distance,45.256,225797153.851971,6204686.82207617,,ipaddr
18648,Sponsor,ServerName,2020-10-27T03:00:03.043945Z,distance,39.056,186854637.555171,6030768.79353703,,ipaddr
4999,Sponsor,ServerName,2020-10-27T04:00:02.620727Z,distance,42.703,216586813.429654,6011205.36989062,,ipaddr
