Server ID, Timestamp, Ping, Download, Upload
4999, '2020-10-24T12:00:02.987674Z', 35.951, 230.0139781615515, 5.918633925028111
18648, '2020-10-24T13:00:02.755379Z', 37.147, 143.20744655898508, 5.985144494747288
4999, '2020-10-24T14:00:03.301708Z', 41.8, 224.73213756682642, 6.022483693580962
4999, '2020-10-24T15:00:02.185293Z', 41.702, 226.74304436338892, 6.26017604347867
4999, '2020-10-24T16:00:02.481012Z', 37.034, 229.69645670208217, 6.03024637461237
4999, '2020-10-24T17:00:02.576802Z', 37.435, 231.73657088613888, 5.970101761728601
18648, '2020-10-24T18:00:02.522193Z', 37.43, 196.602241286118, 5.959538202979026
18648, '2020-10-24T19:00:02.249432Z', 37.944, 170.65514122061273, 5.958830486678815
4999, '2020-10-24T20:00:01.974786Z', 42.757, 180.61297723423772, 5.9678646227507715
4999, '2020-10-24T21:00:02.940335Z', 35.896, 225.33367914393818, 6.131866218441211
4999, '2020-10-24T22:00:02.154995Z', 37.85, 220.98461616275273, 6.145940504246365
18648, '2020-10-24T23:00:02.613052Z', 36.971, 149.2632265024308, 6.024302250397286
3673, '2020-10-25T00:00:02.161573Z', 37.956, 221.8433818274822, 6.175440068892184
4999, '2020-10-25T01:00:03.302529Z', 41.262, 224.1698920077662, 6.150518177889861
18648, '2020-10-25T02:00:01.831004Z', 40.619, 180.2262012754578, 5.9852023603515025
4999, '2020-10-25T03:00:02.177974Z', 40.005, 221.72816281461786, 5.906900997376275
18648, '2020-10-25T04:00:02.308285Z', 42.016, 174.74538643390562, 6.032678282420616
18648, '2020-10-25T05:00:01.832776Z', 38.669, 171.68808244612714, 5.950974909533996
18648, '2020-10-25T06:00:02.725383Z', 39.502, 203.27075401085818, 6.046512679862599
4999, '2020-10-25T07:00:03.485881Z', 44.917, 225.3773063888224, 6.02686631799575
18648, '2020-10-25T08:00:03.078415Z', 36.845, 189.47454733221159, 6.25047260984395
4999, '2020-10-25T09:00:02.281752Z', 43.159, 225.5029521618411, 6.040704664933392
18648, '2020-10-25T10:00:02.303872Z', 38.258, 163.52750880353904, 6.102829292020315
18648, '2020-10-25T11:00:03.286962Z', 37.356, 160.3990053028935, 5.889441991281087
4999, '2020-10-25T12:00:01.979350Z', 39.896, 223.38085156241195, 6.15183784669182
4999, '2020-10-25T13:00:02.644373Z', 40.179, 229.77316549833478, 5.946105333171045
4999, '2020-10-25T14:00:02.526941Z', 35.273, 228.53746535132458, 6.109093651418236
4999, '2020-10-25T15:00:01.884685Z', 36.631, 227.8919067623654, 6.143650924632265
4999, '2020-10-25T16:00:02.538907Z', 36.252, 222.96326885139297, 6.050912020282004
4999, '2020-10-25T17:00:01.979479Z', 34.997, 231.57577052313442, 6.116029510582295
18648, '2020-10-25T18:00:02.866706Z', 38.495, 145.9602211976438, 5.976799101057822
18648, '2020-10-25T19:00:02.737453Z', 37.758, 147.71757947713118, 6.209958106745592
18648, '2020-10-25T20:00:03.067081Z', 38.122, 147.26647101577015, 5.933508491098789
18648, '2020-10-25T21:00:02.153607Z', 39.339, 192.67899431577834, 5.905001706012627
4999, '2020-10-25T22:00:02.972362Z', 37.657, 221.38782979618415, 6.195047411029409
4999, '2020-10-25T23:00:03.622840Z', 40.355, 220.10349425623423, 4.866468640423179
3673, '2020-10-26T00:00:03.250003Z', 45.559, 79.65510348295177, 5.037422188140697
4999, '2020-10-26T01:00:03.343672Z', 37.757, 182.3225137026658, 6.059498110603198
4999, '2020-10-26T02:00:02.748869Z', 40.093, 200.58770085770556, 6.130786823612243
18648, '2020-10-26T03:00:02.044240Z', 39.7, 176.62761957608026, 6.217153618306766
4999, '2020-10-26T04:00:02.544950Z', 49.119, 229.26982617574518, 5.950837739823053
4999, '2020-10-26T05:00:02.328291Z', 37.48, 230.9112498789358, 5.912587995277047
11406, '2020-10-26T06:00:02.985473Z', 58.577, 218.04755056054046, 6.158097024374629
18648, '2020-10-26T07:00:02.151606Z', 62.871, 177.7964261684544, 6.196023897627324
28908, '2020-10-26T08:00:02.102660Z', 64.129, 99.44119705370757, 5.920003952445107
28908, '2020-10-26T09:00:02.955444Z', 71.209, 109.8091571144532, 6.025071777427826
28908, '2020-10-26T10:00:02.551409Z', 57.859, 117.90451696485525, 5.757775627782774
28908, '2020-10-26T11:00:02.994840Z', 65.434, 132.64842299626557, 5.829908774937968
3723, '2020-10-26T12:00:02.314999Z', 54.735, 218.81068875714365, 5.794334066967391
28908, '2020-10-26T13:00:02.833156Z', 54.306, 149.5327492701453, 5.957180213868103
18648, '2020-10-26T14:00:01.904114Z', 37.158, 177.6657096420669, 5.984749032592036
3586, '2020-10-26T15:00:02.791880Z', 28.419, 227.2046100836916, 6.253501060010132
18648, '2020-10-26T16:00:02.620467Z', 38.182, 127.07545421041374, 6.018276961179731
4999, '2020-10-26T17:00:03.179746Z', 38.458, 222.53748216059893, 6.017566832590493
11406, '2020-10-26T18:00:02.848624Z', 54.528, 222.53005475519535, 5.899697975530844
3723, '2020-10-26T19:00:03.306588Z', 49.341, 216.83053917846328, 5.927026202477599
3723, '2020-10-26T20:00:03.287178Z', 47.987, 219.4370568371775, 5.989745892109131
3723, '2020-10-26T21:00:02.588009Z', 47.336, 216.98887730864854, 5.847935621882366
4999, '2020-10-26T22:00:01.981459Z', 47.505, 225.67800062617346, 6.046298108475403
4999, '2020-10-26T23:00:01.890497Z', 42.807, 223.02115316741032, 5.868398723020954
3723, '2020-10-27T00:00:02.402197Z', 59.371, 219.45033980648574, 5.942163418224253
3723, '2020-10-27T01:00:02.965538Z', 53.309, 218.96141550593663, 6.23210657007328
4999, '2020-10-27T02:00:02.143116Z', 45.256, 225.79715385197096, 6.204686822076165
18648, '2020-10-27T03:00:03.043945Z', 39.056, 186.8546375551712, 6.0307687935370335
4999, '2020-10-27T04:00:02.620727Z', 42.703, 216.58681342965426, 6.011205369890624
3723, '2020-10-27T05:00:03.315932Z', 48.557, 216.90901607119304, 5.968875635449024
3723, '2020-10-27T06:00:02.231556Z', 47.057, 224.97288866215905, 6.1561839052695255
3723, '2020-10-27T07:00:02.335969Z', 45.936, 212.30049736552894, 5.876008725765748
3723, '2020-10-27T08:00:02.461867Z', 46.51, 203.39291891441027, 5.794992500962543
3723, '2020-10-27T09:00:03.777264Z', 45.88, 221.91206945809495, 6.265522681611475
3723, '2020-10-27T10:00:02.435717Z', 46.631, 222.3998191176213, 5.87747963554352
3723, '2020-10-27T11:00:03.913446Z', 48.642, 227.28320799952317, 5.924131945639561
3723, '2020-10-27T12:00:03.145828Z', 47.552, 225.86404830676665, 6.086747563595298
3723, '2020-10-27T13:00:02.567381Z', 48.334, 220.5694260797202, 5.765628928151333
21090, '2020-10-27T14:00:02.805900Z', 54.018, 210.82020884510752, 5.754445962829
3723, '2020-10-27T15:00:02.341515Z', 48.586, 223.29476093871895, 5.948072829952173
18648, '2020-10-27T16:00:30.721694Z', 40.756, 190.0129061766824, 4.4572121111499525
3723, '2020-10-27T17:00:02.683535Z', 48.179, 218.78014537523237, 5.971309208904054
4999, '2020-10-27T18:00:02.827250Z', 44.94, 173.76781293837237, 6.178880468379881
4999, '2020-10-27T19:00:02.804387Z', 30.608, 227.42132762087837, 5.848012541666342
4999, '2020-10-27T20:00:02.146307Z', 33.417, 226.36010154225482, 6.1271131764094
4999, '2020-10-27T21:00:02.764780Z', 29.073, 232.50364744085255, 6.033279645514958
4999, '2020-10-27T22:00:02.005623Z', 30.721, 231.45014222856798, 5.970445365466354
4999, '2020-10-27T23:00:03.089433Z', 30.949, 231.0691979893846, 5.873530139812654
4999, '2020-10-28T00:00:02.545543Z', 31.032, 214.30160067069343, 5.728904622465539
3723, '2020-10-28T01:00:01.956454Z', 50.201, 192.78004290464278, 6.139705901894578
22454, '2020-10-28T02:00:02.725041Z', 44.189, 155.25561801318065, 6.139530757970807
4999, '2020-10-28T03:00:02.273050Z', 51.114, 217.68540068741305, 5.7193102188209135
18648, '2020-10-28T04:00:03.393117Z', 40.102, 146.80321725002446, 5.941785613402508
3723, '2020-10-28T05:00:02.019685Z', 46.778, 224.6076276158372, 6.157162453353975
3723, '2020-10-28T06:00:02.721767Z', 45.677, 221.34310453800794, 6.009507596753284
3723, '2020-10-28T07:00:03.194116Z', 46.192, 214.14654842445296, 6.218403495997369
3723, '2020-10-28T08:00:03.001997Z', 47.3, 218.04499663084516, 6.202214585062537
3723, '2020-10-28T09:00:02.872215Z', 45.563, 228.0366046357149, 5.993048365112632
3723, '2020-10-28T10:00:02.541604Z', 45.561, 216.3374267349376, 6.217858289133977
3723, '2020-10-28T11:00:02.448869Z', 47.098, 218.70854608373736, 6.188136824121508
13146, '2020-10-28T12:00:02.324376Z', 51.453, 190.43142294774773, 6.057751211155311
3723, '2020-10-28T13:00:02.791297Z', 46.444, 204.50543822563213, 6.120699639016568
3723, '2020-10-28T14:00:03.805723Z', 49.838, 219.00024546767682, 6.249476269921697
3723, '2020-10-28T15:00:01.855291Z', 49.44, 219.26615800711895, 5.648257517579631
3723, '2020-10-28T16:00:03.373135Z', 51.125, 202.26735654652518, 6.254678118731961
3723, '2020-10-28T17:00:02.655986Z', 51.595, 199.11694917891649, 5.884700019744111
3723, '2020-10-28T18:00:02.670736Z', 50.776, 210.62645455396895, 5.955976344293576
3723, '2020-10-28T19:00:02.696541Z', 49.189, 207.86287917566642, 5.973924738717682
3723, '2020-10-28T20:00:02.988817Z', 48.68, 200.1799919147837, 5.980812674837809
3723, '2020-10-28T21:00:02.069028Z', 49.306, 197.0989583325064, 6.148874404373192
18648, '2020-10-28T22:00:02.164808Z', 51.018, 201.47609416466167, 6.123856124308205
18648, '2020-10-28T23:00:01.885321Z', 39.337, 178.53959731229193, 6.120527581276427
4999, '2020-10-29T00:00:03.419716Z', 52.827, 171.5370357514141, 5.863789249718463
3723, '2020-10-29T01:00:02.645709Z', 51.298, 205.1058248470205, 5.881677896574462
3673, '2020-10-29T02:00:03.506827Z', 42.286, 219.3097517680592, 5.8867668790635985
3723, '2020-10-29T03:00:02.573668Z', 49.586, 223.94120372352165, 6.064117378227556
3723, '2020-10-29T04:00:04.031840Z', 48.747, 222.30746353844688, 5.908422057403871
3723, '2020-10-29T05:00:02.338511Z', 47.462, 219.33790299288628, 6.125672614787355
3723, '2020-10-29T06:00:02.157849Z', 46.099, 212.38638131599728, 6.212501053531885
26158, '2020-10-29T07:00:02.577460Z', 47.445, 84.96867237476144, 6.225935480752695
18648, '2020-10-29T08:00:02.952367Z', 39.427, 198.56161242148957, 6.102188767983078
3723, '2020-10-29T09:00:02.948051Z', 45.485, 215.83157866044263, 6.053576311526044
3723, '2020-10-29T10:00:03.019958Z', 46.259, 223.00420378553787, 6.174670792052493
3723, '2020-10-29T11:00:03.236689Z', 47.299, 215.22233728401042, 6.2866185580006055
3723, '2020-10-29T12:00:02.807140Z', 46.78, 226.30451995096544, 6.037300997907392
4999, '2020-10-29T13:00:01.852965Z', 45.305, 223.047392253526, 5.896736548314269
3723, '2020-10-29T14:00:02.168471Z', 49.498, 223.23679246336178, 5.910617695077788
3723, '2020-10-29T15:00:02.486726Z', 50.33, 207.95976715919423, 6.074293656054789
3673, '2020-10-29T16:00:02.971788Z', 40.01, 229.65421965455604, 6.013632150226881
3723, '2020-10-29T17:00:01.858976Z', 47.24, 209.5578793129564, 6.088396193921011
3723, '2020-10-29T18:00:02.760462Z', 52.387, 203.69801315398266, 5.848109255017177
3723, '2020-10-29T19:00:03.181467Z', 49.05, 223.6633316058389, 5.9029547315394835
3673, '2020-10-29T20:00:02.396623Z', 46.314, 228.16681435503318, 6.013359205708806
3723, '2020-10-29T21:00:02.630851Z', 49.963, 184.9385784516461, 6.064609608582493
4999, '2020-10-29T22:00:02.852326Z', 47.367, 225.7672222463267, 6.103337257139259
3723, '2020-10-29T23:00:02.764082Z', 47.99, 214.1447425221367, 6.120784576862549
3723, '2020-10-30T00:00:02.611868Z', 49.635, 215.66880373558843, 6.111280170089545
3723, '2020-10-30T01:00:03.088155Z', 48.179, 220.37655032013905, 6.26380689098572
3723, '2020-10-30T02:00:02.037779Z', 50.186, 213.10635348772087, 6.258197536191105
3723, '2020-10-30T03:00:01.999154Z', 48.633, 210.38363278510764, 6.225210948018152
18648, '2020-10-30T04:00:03.204408Z', 41.755, 173.58316474703625, 5.8358706602225885
3723, '2020-10-30T05:00:02.466079Z', 48.534, 205.04009952864843, 6.123326287242551
3723, '2020-10-30T06:00:02.795149Z', 45.438, 213.52618137860517, 5.981391493217994
3723, '2020-10-30T07:00:02.843603Z', 45.844, 216.93172269279148, 6.023183193358679
3723, '2020-10-30T08:00:03.408341Z', 50.893, 224.89789457149942, 6.1158723362561425
3723, '2020-10-30T09:00:03.236376Z', 46.964, 217.22977664382304, 6.1604467658180715
3723, '2020-10-30T10:00:01.946916Z', 48.432, 225.24310192072224, 6.281119054958317
3723, '2020-10-30T11:00:03.034340Z', 46.149, 227.3080773064413, 6.180752287478214
3723, '2020-10-30T12:00:03.086035Z', 46.806, 216.10012847941215, 5.853798194573061
3723, '2020-10-30T13:00:02.106493Z', 49.905, 205.75169404515157, 5.885724344918508
3723, '2020-10-30T14:00:02.622952Z', 50.833, 226.74028368039367, 6.00091244756464
3723, '2020-10-30T15:00:03.014906Z', 47.691, 187.90511362551925, 5.840186666303719
3723, '2020-10-30T16:00:03.025527Z', 72.066, 44.17798427943622, 2.2305816921724135
18648, '2020-10-30T17:00:03.156820Z', 37.759, 72.61207328235108, 2.966442411269972
18648, '2020-10-30T18:00:02.845670Z', 40.843, 138.40409153156423, 2.7196994960162773
4999, '2020-10-30T19:00:02.103162Z', 38.979, 151.21949489906424, 3.288284483597789
4999, '2020-10-30T20:00:03.025061Z', 39.182, 174.4696563900627, 3.258988569083576
3723, '2020-10-30T21:00:02.707956Z', 49.797, 219.11559158571382, 6.064282434295521
18648, '2020-10-30T22:00:02.748178Z', 39.791, 136.0595700270458, 5.995669849216582
18648, '2020-10-30T23:00:02.423040Z', 44.234, 158.10312834714586, 5.753508852486721
18648, '2020-10-31T00:00:02.808082Z', 38.697, 125.28088782124202, 6.0766982311301465
18648, '2020-10-31T01:00:02.653182Z', 38.027, 116.05343406008625, 6.188043489277218
18648, '2020-10-31T02:00:02.626004Z', 39.02, 152.91122587755845, 5.536278760355951
18648, '2020-10-31T03:00:02.055289Z', 37.165, 178.84224704837013, 6.19603395311832
28132, '2020-10-31T04:00:04.314247Z', 37.713, 215.16319161587205, 6.252611436934594
21090, '2020-10-31T05:00:02.639655Z', 48.68, 146.95270794602018, 6.243790507918792
4999, '2020-10-31T06:00:02.333424Z', 43.978, 223.36406943610788, 5.604842375849561
3723, '2020-10-31T07:00:02.578354Z', 47.505, 225.12632415079167, 6.0788056122926415
4999, '2020-10-31T08:00:03.951019Z', 38.338, 231.42247206294417, 6.151970776519776
4999, '2020-10-31T09:00:02.678303Z', 47.025, 231.00621411255298, 6.105073084587565
18648, '2020-10-31T10:00:02.430856Z', 40.073, 181.23869734152294, 6.2694939779946175
4999, '2020-10-31T11:00:02.995290Z', 38.947, 223.5305958038816, 5.934611512741511
4999, '2020-10-31T12:00:02.851078Z', 38.282, 228.68752150550984, 5.992133627647878
28908, '2020-10-31T13:00:02.657175Z', 49.436, 145.98027595095488, 6.041304173164223
4999, '2020-10-31T15:00:02.597395Z', 39.51, 208.35849397770573, 5.925059723926257
5429, '2020-10-31T16:00:02.554880Z', 46.012, 221.25999572515605, 6.124760690197166
18648, '2020-10-31T17:00:02.647545Z', 38.461, 213.51054964701532, 5.967484910636468
4999, '2020-10-31T18:00:02.855134Z', 38.524, 222.47510669270005, 5.989804307418408
18648, '2020-10-31T19:00:02.587505Z', 38.803, 161.197388133195, 6.1413651164963285
4999, '2020-10-31T20:00:02.068251Z', 40.292, 225.67072647120762, 5.843649476395955
18648, '2020-10-31T21:00:02.462261Z', 37.293, 175.11242943450878, 5.8183949962241845
28908, '2020-10-31T22:00:02.331336Z', 40.85, 158.88570815311772, 6.013117751006733
4999, '2020-10-31T23:00:03.135420Z', 38.72, 221.25441125163263, 6.056590139133305
18648, '2020-11-01T00:00:02.500101Z', 39.749, 185.79708107706315, 5.96964514108957
18648, '2020-11-01T01:00:02.154341Z', 39.67, 190.42187815902687, 5.9869877977545745
18648, '2020-11-01T02:00:02.690370Z', 37.428, 129.24006331005788, 6.009673930463094
18648, '2020-11-01T03:00:02.206532Z', 37.936, 144.8299919231823, 6.045950730538607
18648, '2020-11-01T04:00:02.683789Z', 36.111, 195.11728830982673, 6.085172753126316
4999, '2020-11-01T05:00:03.116345Z', 41.299, 230.8383883374024, 5.588439824052025
4999, '2020-11-01T06:00:02.553946Z', 40.426, 221.7711816276404, 6.14028199168757
18648, '2020-11-01T07:00:03.177083Z', 38.659, 194.81463269752896, 6.15635099038347
3673, '2020-11-01T08:00:02.945285Z', 39.948, 230.4538934398348, 6.18093832163078
3673, '2020-11-01T09:00:01.950433Z', 37.365, 231.28293747843, 6.131497555985923
18648, '2020-11-01T10:00:03.317777Z', 38.735, 157.70532835582785, 5.992327694764168
18648, '2020-11-01T11:00:02.493238Z', 37.031, 188.3256395118484, 5.919461013203736
18648, '2020-11-01T12:00:02.473981Z', 36.877, 200.2071315443001, 6.122636154935921
18648, '2020-11-01T13:00:02.879959Z', 36.751, 190.41632642136884, 5.686202411571973
4999, '2020-11-01T14:00:01.910415Z', 35.899, 221.76480282697204, 6.114761129815703
